[2024/03/28 21:35:19.760][epsonscan2      ][DbgLog.cpp                                   ; 569][P7CDbgLog                                    ][0000180F][-ERROR-] LoadModule Path:[/usr/bin/epsonscan2] Ver:[1.0.0]
[2024/03/28 21:35:20.041][epsonscan2      ][UsbFinder.cpp                                ;  48][Start                                        ][0000180F][-TRACE-] USB device found VID = 7531 PID = 3
[2024/03/28 21:35:20.041][epsonscan2      ][UsbFinder.cpp                                ;  48][Start                                        ][0000180F][-TRACE-] USB device found VID = 1118 PID = 219
[2024/03/28 21:35:20.041][epsonscan2      ][UsbFinder.cpp                                ;  48][Start                                        ][0000180F][-TRACE-] USB device found VID = 1578 PID = 29219
[2024/03/28 21:35:20.041][epsonscan2      ][UsbFinder.cpp                                ;  48][Start                                        ][0000180F][-TRACE-] USB device found VID = 7531 PID = 2
[2024/03/28 21:35:20.041][epsonscan2      ][UsbFinder.cpp                                ;  48][Start                                        ][0000180F][-TRACE-] USB device found VID = 7531 PID = 3
[2024/03/28 21:35:20.041][epsonscan2      ][UsbFinder.cpp                                ;  48][Start                                        ][0000180F][-TRACE-] USB device found VID = 1208 PID = 319
[2024/03/28 21:35:20.046][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4363 productIDAsString = 110B 
[2024/03/28 21:35:20.047][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 2248 productIDAsString = 08C8 
[2024/03/28 21:35:20.048][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 2248 productIDAsString = 08C8 
[2024/03/28 21:35:20.049][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4424 productIDAsString = 1148 
[2024/03/28 21:35:20.050][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4424 productIDAsString = 1148 
[2024/03/28 21:35:20.051][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4432 productIDAsString = 1150 
[2024/03/28 21:35:20.052][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4432 productIDAsString = 1150 
[2024/03/28 21:35:20.053][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4432 productIDAsString = 1150 
[2024/03/28 21:35:20.054][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4548 productIDAsString = 11C4 
[2024/03/28 21:35:20.055][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4385 productIDAsString = 1121 
[2024/03/28 21:35:20.056][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4385 productIDAsString = 1121 
[2024/03/28 21:35:20.057][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4385 productIDAsString = 1121 
[2024/03/28 21:35:20.058][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 310 productIDAsString = 0136 
[2024/03/28 21:35:20.059][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 310 productIDAsString = 0136 
[2024/03/28 21:35:20.060][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4362 productIDAsString = 110A 
[2024/03/28 21:35:20.061][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4501 productIDAsString = 1195 
[2024/03/28 21:35:20.062][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4421 productIDAsString = 1145 
[2024/03/28 21:35:20.063][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4422 productIDAsString = 1146 
[2024/03/28 21:35:20.064][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 307 productIDAsString = 0133 
