[2024/03/28 22:02:09.719][epsonscan2      ][DbgLog.cpp                                   ; 569][P7CDbgLog                                    ][00006563][-ERROR-] LoadModule Path:[/usr/bin/epsonscan2] Ver:[1.0.0]
[2024/03/28 22:02:10.004][epsonscan2      ][UsbFinder.cpp                                ;  48][Start                                        ][00006563][-TRACE-] USB device found VID = 7531 PID = 3
[2024/03/28 22:02:10.004][epsonscan2      ][UsbFinder.cpp                                ;  48][Start                                        ][00006563][-TRACE-] USB device found VID = 1118 PID = 219
[2024/03/28 22:02:10.004][epsonscan2      ][UsbFinder.cpp                                ;  48][Start                                        ][00006563][-TRACE-] USB device found VID = 1578 PID = 29219
[2024/03/28 22:02:10.004][epsonscan2      ][UsbFinder.cpp                                ;  48][Start                                        ][00006563][-TRACE-] USB device found VID = 7531 PID = 2
[2024/03/28 22:02:10.004][epsonscan2      ][UsbFinder.cpp                                ;  48][Start                                        ][00006563][-TRACE-] USB device found VID = 7531 PID = 3
[2024/03/28 22:02:10.004][epsonscan2      ][UsbFinder.cpp                                ;  48][Start                                        ][00006563][-TRACE-] USB device found VID = 1208 PID = 319
[2024/03/28 22:02:10.009][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4363 productIDAsString = 110B 
[2024/03/28 22:02:10.010][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2248 productIDAsString = 08C8 
[2024/03/28 22:02:10.011][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2248 productIDAsString = 08C8 
[2024/03/28 22:02:10.012][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4424 productIDAsString = 1148 
[2024/03/28 22:02:10.013][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4424 productIDAsString = 1148 
[2024/03/28 22:02:10.014][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4432 productIDAsString = 1150 
[2024/03/28 22:02:10.015][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4432 productIDAsString = 1150 
[2024/03/28 22:02:10.016][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4432 productIDAsString = 1150 
[2024/03/28 22:02:10.017][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4548 productIDAsString = 11C4 
[2024/03/28 22:02:10.018][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4385 productIDAsString = 1121 
[2024/03/28 22:02:10.019][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4385 productIDAsString = 1121 
[2024/03/28 22:02:10.020][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4385 productIDAsString = 1121 
[2024/03/28 22:02:10.021][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 310 productIDAsString = 0136 
[2024/03/28 22:02:10.022][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 310 productIDAsString = 0136 
[2024/03/28 22:02:10.023][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4362 productIDAsString = 110A 
[2024/03/28 22:02:10.024][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4501 productIDAsString = 1195 
[2024/03/28 22:02:10.025][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4421 productIDAsString = 1145 
[2024/03/28 22:02:10.026][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4422 productIDAsString = 1146 
[2024/03/28 22:02:10.027][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 307 productIDAsString = 0133 
[2024/03/28 22:02:10.028][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 307 productIDAsString = 0133 
[2024/03/28 22:02:10.029][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 390 productIDAsString = 0186 
[2024/03/28 22:02:10.030][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 36 productIDAsString = 0024 
[2024/03/28 22:02:10.031][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 364 productIDAsString = 016C 
[2024/03/28 22:02:10.032][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4521 productIDAsString = 11A9 
[2024/03/28 22:02:10.034][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4544 productIDAsString = 11C0 
[2024/03/28 22:02:10.035][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4544 productIDAsString = 11C0 
[2024/03/28 22:02:10.036][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4442 productIDAsString = 115A 
[2024/03/28 22:02:10.037][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4442 productIDAsString = 115A 
[2024/03/28 22:02:10.039][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 393 productIDAsString = 0189 
